id,evaluation_category_feedback_id,flag,question_category_id
1,652,0,8
2,906,0,10
3,653,0,8
4,654,0,8
5,1057,0,12
6,907,0,10
7,1188,0,13
8,815,0,9
9,908,0,10
10,655,0,8
11,909,0,10
12,656,0,8
13,657,0,8
14,910,0,10
15,1189,0,13
16,816,1,9
17,817,0,9
18,911,0,10
19,658,0,8
20,912,0,10
21,659,0,8
22,660,0,8
23,913,0,10
24,1058,0,12
25,914,1,10
26,1190,0,13
27,818,1,9
28,819,0,9
29,915,0,10
30,661,0,8
31,916,0,10
32,662,0,8
33,663,0,8
34,917,0,10
35,1059,0,12
36,918,1,10
37,1191,1,13
38,820,0,9
39,664,1,8
40,919,0,10
41,665,0,8
42,962,0,11
43,963,1,11
44,964,1,11
45,920,1,10
46,1192,0,13
47,821,0,9
48,666,0,8
49,921,0,10
50,667,0,8
51,965,0,11
52,966,0,11
53,922,0,10
54,822,0,9
55,967,1,11
56,823,0,9
57,923,0,10
58,668,1,8
59,924,1,10
60,669,0,8
61,968,1,11
62,969,1,11
63,925,1,10
64,824,1,9
65,970,0,11
66,1193,1,13
67,670,1,8
68,971,0,11
69,671,1,8
70,1060,1,12
71,825,0,9
72,826,1,9
73,827,1,9
74,672,1,8
75,1194,1,13
76,1195,1,13
77,673,0,8
78,972,0,11
79,674,0,8
80,1061,1,12
81,828,1,9
82,1062,1,12
83,675,1,8
84,1196,1,13
85,1197,1,13
86,676,1,8
87,973,0,11
88,1063,0,12
89,829,0,9
90,1064,0,12
91,830,0,9
92,677,1,8
93,1198,1,13
94,1199,0,13
95,678,0,8
96,679,1,8
97,1065,1,12
98,1066,0,12
99,831,0,9
100,1067,1,12
101,832,1,9
102,680,0,8
103,1200,0,13
104,1201,0,13
105,1202,0,13
106,681,0,8
107,682,0,8
108,1068,1,12
109,683,0,8
110,1069,0,12
111,833,0,9
112,834,0,9
113,1070,0,12
114,1071,0,12
115,684,1,8
116,1203,1,13
117,685,1,8
118,1072,0,12
119,835,0,9
120,1073,0,12
121,836,1,9
122,686,0,8
123,687,0,8
124,1074,0,12
125,688,0,8
126,1075,1,12
127,837,1,9
128,1076,0,12
129,838,0,9
130,689,0,8
131,690,0,8
132,1077,0,12
133,1078,0,12
134,1079,1,12
135,839,1,9
136,1080,0,12
137,840,0,9
138,691,1,8
139,1081,1,12
140,692,1,8
141,841,0,9
142,1082,0,12
143,842,0,9
144,693,1,8
145,1083,0,12
146,1084,1,12
147,843,1,9
148,1085,0,12
149,844,0,9
150,694,1,8
151,695,0,8
152,1086,1,12
153,845,0,9
154,926,0,10
155,846,0,9
156,696,1,8
157,1087,1,12
158,847,0,9
159,848,0,9
160,849,1,9
161,697,0,8
162,1088,0,12
163,698,1,8
164,699,0,8
165,850,0,9
166,851,1,9
167,1089,0,12
168,1090,1,12
169,700,0,8
170,701,1,8
171,702,0,8
172,852,1,9
173,703,0,8
174,1091,0,12
175,1092,0,12
176,853,0,9
177,1093,0,12
178,1094,1,12
179,704,0,8
180,854,1,9
181,705,1,8
182,855,0,9
183,1095,1,12
184,706,0,8
185,1096,1,12
186,707,1,8
187,974,0,11
188,975,1,11
189,1097,1,12
190,1098,0,12
191,927,0,10
192,1099,1,12
193,1100,0,12
194,1101,1,12
195,928,0,10
196,929,0,10
197,1102,0,12
198,976,1,11
199,856,1,9
