id,talent_id,talent_evaluation_competence_id,points,question_id,talent_answer_id,pending,question_category_id,,,,,,
1,2594,1,0,36,36,0,9,,,,,,
2,2594,1,0,32,32,0,10,,,,,,
3,2594,1,0,30,30,0,8,,,,,,
4,2594,2,0,29,29,0,9,,,,,,
5,2594,2,0,33,33,0,10,,,,,,
6,2594,2,0,40,40,0,8,,,,,,
7,2594,3,0,36,36,0,8,,,,,,
8,2594,3,0,32,32,0,10,,,,,,
9,2594,3,0,30,30,0,12,,,,,,
10,2594,4,0,63,63,0,10,,,,,,
11,2594,4,0,64,64,0,13,,,,,,
12,2594,4,0,65,65,0,12,,,,,,
13,2594,5,0,70,70,0,9,,,,,,
14,2594,5,0,79,79,0,11,,,,,,
15,2594,5,0,77,77,0,11,,,,,,
16,2595,6,0,36,36,0,9,,,,,,
17,2595,6,0,32,32,0,10,,,,,,
18,2595,6,0,30,30,0,8,,,,,,
19,2595,7,0,29,29,0,9,,,,,,
20,2595,7,0,33,33,0,10,,,,,,
21,2595,7,0,40,40,0,8,,,,,,
22,2595,8,0,36,36,0,8,,,,,,
23,2595,8,0,32,32,0,10,,,,,,
24,2595,8,0,30,30,0,12,,,,,,
25,2595,9,0,63,63,0,10,,,,,,
26,2595,9,0,64,64,0,13,,,,,,
27,2595,9,0,65,65,0,12,,,,,,
28,2595,10,2,70,70,0,9,,,,,,
29,2595,10,2,79,79,0,11,,,,,,
30,2595,10,2,77,77,0,11,,,,,,
31,2596,11,0,36,36,0,9,,,,,,
32,2596,11,0,32,32,0,10,,,,,,
33,2596,11,0,30,30,0,8,,,,,,
34,2596,12,0,29,29,0,9,,,,,,
35,2596,12,0,33,33,0,10,,,,,,
36,2596,12,0,40,40,0,8,,,,,,
37,2596,13,0,36,36,0,8,,,,,,
38,2596,13,0,32,32,0,10,,,,,,
39,2596,13,0,30,30,0,12,,,,,,
40,2596,14,2,63,63,0,10,,,,,,
41,2596,14,2,64,64,0,13,,,,,,
42,2596,14,2,65,65,0,12,,,,,,
43,2596,15,0,70,70,0,9,,,,,,
44,2596,15,0,79,79,0,11,,,,,,
45,2596,15,0,77,77,0,11,,,,,,
46,2597,16,0,36,36,0,9,,,,,,
47,2597,16,0,32,32,0,10,,,,,,
48,2597,16,0,30,30,0,8,,,,,,
49,2597,17,0,29,29,0,9,,,,,,
50,2597,17,0,33,33,0,10,,,,,,
51,2597,17,0,40,40,0,8,,,,,,
52,2597,18,2,36,36,0,8,,,,,,
53,2597,18,2,32,32,0,10,,,,,,
54,2597,18,2,30,30,0,12,,,,,,
55,2597,19,0,63,63,0,10,,,,,,
56,2597,19,0,64,64,0,13,,,,,,
57,2597,19,0,65,65,0,12,,,,,,
58,2597,20,0,70,70,0,9,,,,,,
59,2597,20,0,79,79,0,11,,,,,,
60,2597,20,0,77,77,0,11,,,,,,
61,2598,21,0,36,36,0,9,,,,,,
62,2598,21,0,32,32,0,10,,,,,,
63,2598,21,0,30,30,0,8,,,,,,
64,2598,22,2,29,29,0,9,,,,,,
65,2598,22,2,33,33,0,10,,,,,,
66,2598,22,2,40,40,0,8,,,,,,
67,2598,23,0,45,45,0,11,,,,,,
68,2598,23,0,46,46,0,11,,,,,,
69,2598,23,0,47,47,0,11,,,,,,
70,2598,24,0,63,63,0,10,,,,,,
71,2598,24,0,64,64,0,13,,,,,,
72,2598,24,0,65,65,0,12,,,,,,
73,2598,25,0,70,70,0,9,,,,,,
74,2598,25,0,79,79,0,11,,,,,,
75,2598,25,0,77,77,0,11,,,,,,
76,2599,26,2,36,36,0,9,,,,,,
77,2599,26,2,32,32,0,10,,,,,,
78,2599,26,2,30,30,0,8,,,,,,
79,2599,27,0,29,29,0,9,,,,,,
80,2599,27,0,33,33,0,10,,,,,,
81,2599,27,0,40,40,0,8,,,,,,
82,2599,28,0,45,45,0,11,,,,,,
83,2599,28,0,46,46,0,11,,,,,,
84,2599,28,0,47,47,0,11,,,,,,
85,2599,29,0,63,63,0,10,,,,,,
86,2599,29,0,64,64,0,13,,,,,,
87,2599,29,0,65,65,0,12,,,,,,
88,2599,30,0,70,70,0,9,,,,,,
89,2599,30,0,79,79,0,11,,,,,,
90,2599,30,0,77,77,0,11,,,,,,
91,2601,31,2,36,36,0,9,,,,,,
92,2601,31,2,32,32,0,10,,,,,,
93,2601,31,2,30,30,0,8,,,,,,
94,2601,32,0,29,29,0,9,,,,,,
95,2601,32,0,33,33,0,10,,,,,,
96,2601,32,0,40,40,0,8,,,,,,
97,2601,33,0,45,45,0,11,,,,,,
98,2601,33,0,46,46,0,11,,,,,,
99,2601,33,0,47,47,0,11,,,,,,
100,2601,34,0,63,63,0,10,,,,,,
101,2601,34,0,64,64,0,13,,,,,,
102,2601,34,0,65,65,0,12,,,,,,
103,2601,35,2,70,70,0,9,,,,,,
104,2601,35,2,79,79,0,11,,,,,,
105,2601,35,2,77,77,0,11,,,,,,
106,2602,36,2,52,52,0,8,,,,,,
